date_time,close
1/01/2010,4899.4
8/01/2010,4898
15/01/2010,4827.2
22/01/2010,4673.3
29/01/2010,4621.6
5/02/2010,4554.3
12/02/2010,4654.9
19/02/2010,4594.1
26/02/2010,4750.5
5/03/2010,4814.2
12/03/2010,4863.1
19/03/2010,4885.4
26/03/2010,4907.7
2/04/2010,4937.9
9/04/2010,5001.9
16/04/2010,4907.4
23/04/2010,4785.6
30/04/2010,4573.2
7/05/2010,4652.8
14/05/2010,4316.5
21/05/2010,4379.2
28/05/2010,4486
4/06/2010,4435.3
11/06/2010,4527.3
18/06/2010,4479.7
25/06/2010,4237.5
2/07/2010,4356.9
9/07/2010,4442.6
16/07/2010,4374.7
23/07/2010,4524.1
30/07/2010,4566.5
6/08/2010,4400.9
13/08/2010,4479
20/08/2010,4356
27/08/2010,4532.7
3/09/2010,4582.2
10/09/2010,4605.3
17/09/2010,4633.6
24/09/2010,4582.9
1/10/2010,4691.3
8/10/2010,4699.1
15/10/2010,4622.9
22/10/2010,4684.9
29/10/2010,4745.3
5/11/2010,4728.6
12/11/2010,4640.2
19/11/2010,4593.4
26/11/2010,4676.2
3/12/2010,4741.3
10/12/2010,4784
17/12/2010,4799
24/12/2010,4790.4
31/12/2010,4725
7/01/2011,4795.2
14/01/2011,4783.7
21/01/2011,4806.1
28/01/2011,4820.6
4/02/2011,4914.4
11/02/2011,4938.4
18/02/2011,4809.3
25/02/2011,4806.4
4/03/2011,4699.7
11/03/2011,4555.3
18/03/2011,4699.6
25/03/2011,4837.9
1/04/2011,4908.1
8/04/2011,4884.2
15/04/2011,4913.8
22/04/2011,4873
29/04/2011,4753.7
6/05/2011,4696.1
13/05/2011,4756.4
20/05/2011,4660.2
27/05/2011,4600.4
3/06/2011,4549.6
10/06/2011,4479.2
17/06/2011,4500.5
24/06/2011,4608
1/07/2011,4605.5
8/07/2011,4490.7
15/07/2011,4556
22/07/2011,4463.8
29/07/2011,4276.5
5/08/2011,4140.8
12/08/2011,4251.2
19/08/2011,4212.8
26/08/2011,4307.5
2/09/2011,4188
9/09/2011,4071.7
16/09/2011,3964.9
23/09/2011,4008.3
30/09/2011,4069.9
7/10/2011,4244.5
14/10/2011,4144.9
21/10/2011,4348.2
28/10/2011,4171.8
4/11/2011,4244.1
11/11/2011,4258.2
18/11/2011,4044.2
25/11/2011,4228.6
2/12/2011,4280.7
9/12/2011,4139.8
16/12/2011,4090.8
23/12/2011,4071.1
30/12/2011,4142.7
6/01/2012,4181
13/01/2012,4214.8
20/01/2012,4271.3
27/01/2012,4267.8
3/02/2012,4282.9
10/02/2012,4181.9
17/02/2012,4286.2
24/02/2012,4255.5
2/03/2012,4171
9/03/2012,4277.8
16/03/2012,4273.7
23/03/2012,4337.9
30/03/2012,4319.8
6/04/2012,4280.6
13/04/2012,4362.7
20/04/2012,4375.2
27/04/2012,4429
4/05/2012,4295.6
11/05/2012,4157.4
18/05/2012,4055.8
25/05/2012,4076.3
1/06/2012,4108.6
8/06/2012,4042.2
15/06/2012,4087.6
22/06/2012,4044.8
29/06/2012,4169.2
6/07/2012,4068
13/07/2012,4206.7
20/07/2012,4147.7
27/07/2012,4269.5
3/08/2012,4308.3
10/08/2012,4330.2
17/08/2012,4383.7
24/08/2012,4315.7
31/08/2012,4312.9
7/09/2012,4339.4
14/09/2012,4397.2
21/09/2012,4384.2
28/09/2012,4452.4
5/10/2012,4483.5
12/10/2012,4559.4
19/10/2012,4510.5
26/10/2012,4457.6
2/11/2012,4483.8
9/11/2012,4349.3
16/11/2012,4413.1
23/11/2012,4477.7
30/11/2012,4509.3
7/12/2012,4582.8
14/12/2012,4634.1
21/12/2012,4648
28/12/2012,4740.7
4/01/2013,4723
11/01/2013,4756.6
18/01/2013,4810.2
25/01/2013,4878.8
1/02/2013,4935.7
8/02/2013,5036.9
15/02/2013,4980.1
22/02/2013,5104.1
1/03/2013,5109.2
8/03/2013,5032.2
15/03/2013,4959.4
22/03/2013,4966.5
29/03/2013,4913.5
5/04/2013,5007.1
12/04/2013,4924.4
19/04/2013,5102.4
26/04/2013,5130
3/05/2013,5198.4
10/05/2013,5165.7
17/05/2013,5062.4
24/05/2013,4930.7
31/05/2013,4781.2
7/06/2013,4695.8
14/06/2013,4758.4
21/06/2013,4811.3
28/06/2013,4794.7
5/07/2013,4965.7
12/07/2013,4993.4
19/07/2013,5035.6
26/07/2013,5061.5
2/08/2013,5064.8
9/08/2013,5152.4
16/08/2013,5075.7
23/08/2013,5092.4
30/08/2013,5142.5
6/09/2013,5242.5
13/09/2013,5295.6
20/09/2013,5294.5
27/09/2013,5234.9
4/10/2013,5147.1
11/10/2013,5283.1
18/10/2013,5372.9
25/10/2013,5425.5
1/11/2013,5422
8/11/2013,5355.4
15/11/2013,5288.3
22/11/2013,5334.3
29/11/2013,5198
6/12/2013,5062.5
13/12/2013,5202.2
20/12/2013,5327.2
27/12/2013,5367.9
3/01/2014,5324.4
10/01/2014,5309.1
17/01/2014,5263
24/01/2014,5188.1
31/01/2014,5131.4
7/02/2014,5308.1
14/02/2014,5412.3
21/02/2014,5411.4
28/02/2014,5445.9
7/03/2014,5412.6
